0	1641	
1	1636	
2	1636	
3	1638	
4	1639	
5	1636	
6	1640	
7	1637	
8	1636	
9	1638	
10	1636	
11	1640	
12	1638	
13	1633	
14	1643	
15	1639	
16	1639	
17	1638	
18	1638	
19	1638	
20	1637	
21	1637	
22	1634	
23	1638	
24	1638	
25	1638	
26	1642	
27	1636	
28	1642	
29	1638	
30	1636	
31	1635	
32	1638	
33	1642	
34	1637	
35	1631	
36	1638	
37	1636	
38	1643	
39	1631	
40	1640	
41	1638	
42	1640	
43	1637	
44	1642	
45	1635	
46	1639	
47	1641	
48	1632	
49	1642	
50	1640	
51	1635	
52	1639	
53	1635	
54	1644	
55	1633	
56	1639	
57	1638	
58	1638	
59	1639	
60	1641	
61	1627	
62	1638	
63	1636	
64	1638	
65	1637	
66	1641	
67	1637	
68	1641	
69	1639	
70	1637	
71	1641	
72	1637	
73	1637	
74	1638	
75	1636	
76	1640	
77	1641	
78	1638	
79	1642	
80	1638	
81	1635	
82	1638	
83	1635	
84	1640	
85	1638	
86	1639	
87	1639	
88	1634	
89	1641	
90	1641	
91	1635	
92	1640	
93	1636	
94	1644	
95	1633	
96	1643	
97	1635	
98	1637	
99	1640	
100	1640	
101	1634	
102	1640	
103	1640	
104	1636	
105	1638	
106	1640	
107	1639	
108	1641	
109	1639	
110	1639	
111	1632	
112	1638	
113	1640	
114	1636	
115	1639	
116	1639	
117	1640	
118	1642	
119	1632	
120	1639	
121	1637	
122	1636	
123	1641	
124	1635	
125	1638	
126	1638	
127	1638	
128	1636	
129	1641	
130	1641	
131	1638	
132	1639	
133	1640	
134	1642	
135	1634	
136	1639	
137	1642	
138	1643	
139	1637	
140	1640	
141	1640	
142	1640	
143	1635	
144	1635	
145	1640	
146	1641	
147	1638	
148	1639	
149	1637	
150	1642	
151	1635	
152	1636	
153	1640	
154	1637	
155	1636	
156	1638	
157	1639	
158	1639	
159	1635	
160	1639	
161	1635	
162	1637	
163	1639	
164	1638	
165	1636	
166	1639	
167	1635	
168	1641	
169	1643	
170	1636	
171	1640	
172	1637	
173	1632	
174	1641	
